word phonetic
diligent ['dilidʒәnt]
dill [dil]
dilute [dai'lju:t]
dilution "[dai'lju:ʃәn, di'l-]"
dim [dim]
dime [daim]
dimension [dai'menʃәn]
dimensional [dai'menʃәnәl]
diminish [di'miniʃ]
diminished [di'miniʃt]
diminishing [di'miniʃiŋ]
diminutive [di'minjutiv]
dimly ['dimli]
dimple ['dimpl]
din [din]
dine [dain]
diner ['dainә]
dingy ['diŋdʒi]
dining ['dainiŋ]
dinner ['dinә]
dinosaur ['dainәsɒ:]
diocesan [dai'ɒsisәn]
diocese ['daiәsis]
dioxide [dai'ɒksaid]
dioxin [dai'ɔksin]
dip [dip]
diploma [di'plәumә]
diplomacy [di'plәumәsi]
diplomat ['diplәmæt]
diplomatic [.diplә'mætik]
diplomatically [,diplә'mætikәli]
dire [daiә]
direct [di'rekt]
directed "[di'rektid. dai-]"
direction [di'rekʃәn]
directional [di'rekʃәnәl]
directive [di'rektiv]
directly "[di'rektli, dai'rektli]"
director [di'rektә]
directory [di'rektәri]
dirt [dә:t]
dirty ['dә:ti]
disability [disә'biliti]
disable [dis'eibl]
disabled [dis'eibld]
disadvantage [.disәd'vɑ:ntidʒ]
disadvantaged [disәd'vɑ:ntidʒ]
disaffected [.disә'fektid]
disagree [.disә'gri:]
disagreement [.disә'gri:mәnt]
disappear [.disә'piә]
disappearance [.disә'piәrәns]
disappearing [ˌdisəˈpiərɪŋ]
disappoint [.disә'pɒint]
disappointed [.disә'pɒintid]
disappointing [.disә'pɒintiŋ]
disappointment [.disә'pɒintmәnt]
disapproval [.disә'pru:vәl]
disapprove [.disә'pru:v]
disapproving [ˌdɪsəˈpru:vɪŋ]
disarm [dis'ɑ:m]
disarmament [dis'ɑ:mәmәnt]
disarray [.disә'rei]
disassemble [.disә'sembl]
disaster [di'zɑ:stә]
disastrous [di'zɑ:strәs]
disavow [.disә'vau]
disband [dis'bænd]
disbelief [.disbi'li:f]
disc [disk]
discard [dis'kɑ:d]
discarded [dɪs'kɑ:rdɪd]
discern [di'zә:n]
discernible [di's\\\\:nәbl,-'z\\\\:-]
discerning [di's\\\\:niŋ]
discharge [dis'tʃɑ:dʒ]
disciple [di'saipl]
disciplinary ['disiplinәri]
discipline ['disiplin]
disciplined ['disiplind]
disclaimer [dis'kleimә]
disclose [dis'klәuz]
disclosure [dis'klәuʒә]
disco ['diskәu]
discomfort [dis'kʌmfәt]
disconcerting [ˌdɪskən'sɜ:rtɪŋ]
disconnect [.diskә'nekt]
discontent [.diskәn'tent]
discontinue [.diskәn'tinju:]
discontinuity [.diskәnti'nju:iti]
discord ['diskɒ:d]
discount ['diskaunt]
discounted [ˈdiskauntid]
discourage [dis'kʌridʒ]
discouraging [dis'kʌridʒiŋ]
discourse ['diskɒ:s]
discover [dis'kʌvә]
discovery [dis'kʌvәri]
discredit [dis'kredit]
discreet [dis'kri:t]
discreetly [dɪ'skri:tlɪ]
discrepancy [dis'krepәnsi]
discrete [dis'kri:t]
discretion [dis'kreʃәn]
discretionary [dis'kreʃәnәri]
discriminant [dis'kriminәnt]
discriminate [dis'krimineit]
discriminating [dis'krimineitiŋ]
discrimination [dis.krimi'neiʃәn]
discriminatory "[di'skriminәtәri; (?@) -tɔ:ri]"
discursive [dis'kә:siv]
discuss [dis'kʌs]
discussion [dis'kʌʃәn]
disdain [dis'dein]
disease [di'zi:z]
diseased [di'zi:zd]
disembark [.disim'bɑ:k]
disembodied [disim'bɔdid]
disengage [.disin'geidʒ]
disengagement [.disin'geidʒmәnt]
disfigure [dis'fi^ә]
disgrace [dis'greis]
disgraceful [dis'greisful]
disgruntled [dis'^rʌnt(ә)ld]
disguise [dis'gaiz]
disguised [disˈɡaizd]
disgust [dis'gʌst]
disgusted [dis'ɡʌstid]
disgusting [dis'gʌstiŋ]
dish [diʃ]
dishearten [dis'hɑ:tn]
dishonest [dis'ɒnist]
dishonesty [dis'ɒnisti]
dishwasher ['diʃwɒʃә]
disillusion [.disi'lu:ʒәn]
disillusionment [,disi'lju:ʒәnmәnt]
disinfectant [.disin'fektәnt]
disingenuous [.disin'dʒenjuәs]
disintegrate [dis'intigreit]
disintegration [dis.inti'greiʃәn]
disinterested [dis'intristid]
disk [disk]
dislike [dis'laik]
dislocate ['dislәukeit]
dislocation [dislou'keiʃәn]
dislodge [dis'lɒdʒ]
dismal ['dizmәl]
dismantle [dis'mæntl]
dismantling [dis'mæntliŋ]
dismay [dis'mei]
dismayed [dɪsˈmeɪd]
dismiss [dis'mis]
dismissal [dis'misәl]
dismissive [dis'misiv]
dismount [dis'maunt]
disobedience [.disә'bi:djәns]
disobey [.disә'bei]
disorder [dis'ɒ:dә]
disordered [dis'ɒ:dәd]
disorderly [dis'ɒ:dәli]
disoriented [dis'ɔ:rientid]
disparage [dis'pæridʒ]
disparate ['dispәrәt]
disparity [dis'pæriti]
dispatch [dis'pætʃ]
dispatcher [dis'pætʃә]
dispel [dis'pel]
dispense [dis'pens]
dispenser [dis'pensә]
dispersal [dis'pә:sl]
disperse [dis'pә:s]
dispersed [dis'pә:st]
dispersion [dis'pә:ʃәn]
displace [dis'pleis]
displaced [dis'pleist]
displacement [dis'pleismәnt]
display [dis'plei]
displeasure [dis'pleʒә]
disposable [dis'pәuzәbl]
disposal [dis'pәuzәl]
dispose [dis'pәuz]
disposition [.dispә'ziʃәn]
disproportionate [.disprә'pɒ:ʃәnit]
disprove [.dis'pru:v]
dispute [dis'pju:t]
disqualify [dis'kwɒlifai]
disregard [.disri'gɑ:d]
disrespect [.disri'spekt]
disrespectful [.disri'spektful]
disrupt [dis'rʌpt]
disruption [dis'rʌpʃәn]
disruptive [dis'rʌptiv]
dissatisfaction ['dis.sætis'fækʃәn]
dissect [di'sekt]
dissection [di'sekʃәn]
disseminate [di'semineit]
dissemination [di.semi'neiʃә]
dissent [di'sent]
dissenter [di'sentә]
dissenting [di'sentiŋ]
dissertation [.disә'teiʃәn]
disservice [dis'sә:vis]
dissident ['disidәnt]
dissimilar [di'similә]
dissipate ['disipeit]
dissolution [.disә'lu:ʃәn]
dissolve [di'zɒlv]
dissonance ['disәnәns]
dissuade [di'sweid]
distal ['distәl]
distance ['distәns]
distant ['distәnt]
distaste [.dis'teist]
distasteful [dis'teistful]
distinct [dis'tiŋkt]
distinction [dis'tiŋkʃәn]
distinctive [di'stiŋktiv]
distinctively [dɪ'stɪŋktɪvlɪ]
distinctly [dis'tiŋktli]
distinguish [dis'tiŋgwiʃ]
distinguished [dis'tiŋgwiʃt]
distinguishing [dis'tiŋgwiʃiŋ]
distort [dis'tɒ:t]
distorted [dis'tɔ:tid]
distortion [dis'tɒ:ʃәn]
distract [dis'trækt]
distraction [dis'trækʃәn]
distraught [dis'trɒ:t]
distress [di'stres]
distressed [di'strest]
distressing [di'stresiŋ]
distribute [di'stribju:t]
distributed [di'stribju:tid]
distribution [.distrә'bju:ʃәn]
distributor [dis'tribjutә]
district ['distrikt]
distrust [dis'trʌst]
disturb [dis'tә:b]
disturbance [dis'tә:bәns]
disturbed [di'stә:bd]
disturbing [dis'tә:biŋ]
ditch [ditʃ]
diva ['di:vә]
dive [daiv]
diver ['daivә]
diverge [dai'vә:dʒ]
divergence [dai'vә:dʒәns]
divergent [dai'vә:dʒәnt]
diverse [dai'vә:s]
diversification [daivә:sifi'keiʃәn]
diversified [dai'vә:sifaid]
diversify [dai'vә:sifai]
diversion [dai'vә:ʒәn]
diversity [dai'vә:siti]
divert [dai'vә:t]
divest [dai'vest]
divide [di'vaid]
divided [dә'vaidid]
dividend ['dividend]
divider [di'vaidә]
divination [.divi'neiʃәn]
divine [di'vain]
diving ['daiviŋ]
divinity [di'viniti]
division [di'viʒәn]
divisional [di'viʒәnәl]
divisive [di'vaisiv]
divorce [di'vɒ:s]
divulge [di'vʌldʒ]
dizziness ['dizinis]
dizzy ['dizi]
dizzying ['dizi:iŋ]
do [du:]
do-it-yourself ['du:itjɔ:'self]
doable ['du:әbl]
docile ['dәusail]
dock [dɒk]
docket ['dɒkit]
docking ['dɒkiŋ]
doctor ['dɒktә]
doctoral ['dɒktәrәl]
doctorate ['dɒktәrit]
doctrinal ['dɒktrinәl]
doctrine ['dɒktrin]
document ['dɒkjumәnt]
documentary [.dɒkju'mentәri]
documentation [.dɒkjumen'teiʃәn]
dodge [dɒdʒ]
doe [dәu]
dog [dɒg]
dogged ['dɒgid]
dogma ['dɒgmә]
dogmatic [dɒg'mætik]
dogwood ['dɒgwud]
doll [dɒl]
dollop ['dɒlәp]
dolphin ['dɒlfin]
domain [dәu'mein]
dome [dәum]
domestic [dәu'mestik]
domestically [dәu'mestikli]
domesticated [dəʊ'mestɪkeɪtɪd]
dominance ['dɔminәns]
dominant ['dɒminәnt]
dominate ['dɒmineit]
domination [.dɒmi'neiʃәn]
dominion [dә'minjәn]
domino ['dɒminәu]
don [dɒn]
donate ['dәuneit]
donation [dәu'neiʃәn]
donkey ['dɒŋki]
donor ['dәunә]
donut ['dәu,nʌt]
doom [du:m]
door [dɒ:]
doorbell ['dɒ:bel]
doorknob ['dɒ:nɒb]
doorman ['dɒ:mæn]
doorstep ['dɒ:step]
doorway ['dɒ:wei]
dopamine ['dәupә,mi:n]
dope [dәup]
dorm [dɒ:m]
dormant ['dɒ:mәnt]
dormitory ['dɒ:mitәri]
dosage ['dәusidʒ]
dose [dәus]
dot [dɒt]
dot-com [ˌdɒtˈkɒm]
dotted ['dɒtid]
double ['dʌbl]
double-digit ['dʌbl'didʒit]
doubling ['dʌbliŋ]
doubly ['dʌbli]
doubt [daut]
doubtful ['dautful]
doubtless ['dautlis]
dough [dәu]
doughnut ['dәunʌt]
dour [duә]
douse [daus]
dove [dʌv]
down [daun]
downed [daund]
downfall ['daunfɒ:l]
downgrade ['dajn^reid]
downhill ['daun'hil]
downplay ['daunplei]
downpour ['daunpɔ:]
downright ['daunrait]
downside ['daunsaid]
downsize [daun'saiz]
downstairs ['daun'stєәz]
downstream ['daun'stri:m]
downtime ['dauntaim]
downtown ['daun'taun]
downturn ['dauntә:n]
downward ['daunwәd]
downwind ['daun'wind]
dowry ['dauәri]
doze [dәuz]
dozen ['dʌzn]
drab [dræb]
draconian [drә'kәjniәn]
draft "[dræft. drɑ:ft]"
drafting ['drɑ:ftiŋ]
drag [dræg]
dragon ['drægәn]
dragonfly ['drægәnflai]
drain [drein]
drainage ['dreinidʒ]
drained [dreɪnd]
drama ['drɑ:mә]
dramatic [drә'mætik]
dramatically [drә'mætikli]
dramatize ['dræmәtaiz]
drape [dreip]
drapery ['dreipәri]
drastic ['dræstik]
drastically ['dræstikәli]
draw [drɒ:]
drawback ['drɒ:bæk]
drawer ['drɒ:ә]
drawing ['drɒ:iŋ]
drawl [drɒ:l]
dread [dred]
dreadful ['dredful]
dream [dri:m]
dreamer ['dri:mә]
dreamy ['dri:mi]
dreary ['driәri]
dredge [dredʒ]
drench [drentʃ]
dress [dres]
dresser ['dresә]
dressing ['dresiŋ]
dribble ['dribl]
dried [draid]
drift [drift]
driftwood ['driftwud]
drill [dril]
drilling ['driliŋ]
drink [driŋk]
drinker ['driŋkә]
drinking ['driŋkiŋ]
drip [drip]
dripping ['dripiŋ]
drive [draiv]
drive-by [ˈdraɪvˌbaɪ]
drive-in ['draiv'in]
driven ['drivn]
driver ['draivә]
driveway ['draivwei]
driving ['draiviŋ]
drizzle ['drizl]
drone [drәun]
drool [dru:l]
droop [dru:p]
drooping ['dru:piŋ]
drop [drɒp]
drop-off ['drɔpɔf]
droplet ['drɒplit]
dropout ['drɒpaut]
dropping ['drɒpiŋ]
drought [draut]
drove [drәuv]
drown [draun]
drowning ['drauniŋ]
drowsy ['drauzi]
drug [drʌg]
drugstore ['drʌgstɒ:]
drum [drʌm]
drumbeat ['drʌmbi:t]
drummer ['drʌmә]
drumming ['drʌmiŋ]
drunk [drʌŋk]
drunken ['drʌŋkәn]
dry [drai]
dryer ['draiә]
drying ['draiiŋ]
dryly ['draili]
dryness ['drainis]
dual ['dju:әl]
dualism ['dju:әlizm]
duality [dju:'æliti]
dub [dʌb]
dubious ['dju:biәs]
duck [dʌk]
duct [dʌkt]
dud [dʌd]
dude [dju:d]
due [dju:]
duel ['dju:әl]
duet [dju:'et]
duffel ['dʌfәl]
dugout ['dʌgaut]
duke [dju:k]
dull [dʌl]
duly ['dju:li]
dumb [dʌm]
dumbbell ['dʌmbel]
dumbfound [dʌm'fajnd]
dummy ['dʌmi]
dump [dʌmp]
dumping ['dʌmpiŋ]
dumplings ['dʌmplɪŋz]
dumpster ['dʌmpstə(r)]
dune [dju:n]
dung [dʌŋ]
dungeon ['dʌndʒәn]
dunk [dʌŋk]
duo ['dju:әu]
dupe [dju:p]
duplex ['dju:pleks]
duplicate ['dju:plikeit]
duplication [.dju:pli'keiʃәn]
durability [,djuәrә'biliti]
durable ['djurәbl]
duration [dju'reiʃәn]
during ['djuәriŋ]
dusk [dʌsk]
dusky ['dʌski]
dust [dʌst]
duster ['dʌstә]
dusty ['dʌsti]
Dutch [dʌtʃ]
dutiful ['dju:tiful]
duty ['dju:ti]
dwarf [dwɒ:f]
dwell [dwel]
dweller ['dwelә]
dwelling ['dweliŋ]
dwindle ['dwindl]
dwindling [ˈdwindlɪŋ]
dyad ['daiæd]
dye [dai]
dying ['daiiŋ]
dynamic [dai'næmik]
dynamics [dai'næmiks]
dynamism ['dainәmizm]
dynamite ['dainәmait]
dynasty ['dainæsti]
dysfunction [dis'fʌŋkʃәn]
dysfunctional [dɪsˈfʌŋkʃənl]
e-commerce ['i:kɒmɜ:s]
each [i:tʃ]
eager ['i:gә]
eagerness ['i:gәnis]
eagle ['i:gl]
ear [iә]
early ['ә:li]
earmark ['iәmɑ:k]
earn [ә:n]
earned [ә:nd]
earner ['ә:nә]
earnest ['ә:nist]
earnings ['ә:niŋ]
earphone ['iәfәun]
earring ['iәriŋ]
earshot ['iәʃɒt]
earth [ә:θ]
earthen ['ә:θәn]
earthly ['ә:θli]
earthquake ['ә:θkweik]
earthy ['ә:θi]
ease [i:z]
easel ['i:zәl]
easily ['i:zili]
east [i:st]
Easter ['i:stә]
eastern ['i:stәn]
eastward ['i:stwәd]
easy ['i:zi]
eat [i:t]
eater ['i:tә]
eatery ['i:tәri]
eating ['i:tiŋ]
eavesdrop ['i:vzdrɒp]
ebb [eb]
ebony ['ebәni]
eccentric [ik'sentrik]
eccentricity [.eksen'trisiti]
ecclesiastical [i.kli:zi'æstikәl]
echelon ['eʃәlɒn]
echo ['ekәu]
echoing ['ekәuiŋ]
eclectic [ek'lektik]
eclipse [i'klips]
ecological [.i:kә'lɒdʒikәl]
ecologist [i:'kɒlәdʒist]
ecology [i:'kɒlәdʒi]
economic [.i:kә'nɒmik]
economical [.i:kә'nɒmikәl]
economically [i:kә'nɔmikәli]
economics [.i:kә'nɒmiks]
economist [i:'kɒnәmist]
economy [i'kɒnәmi]
ecosystem ['i:kәu.sistәm]
ecstasy ['ekstәsi]
ecstatic [ik'stætik]
ecumenical [,i:kju(:)'menikәl]
eddy ['edi]
edge [edʒ]
edgy ['edʒi]
edible ['edibl]
edict ['i:dikt]
edifice ['edifis]
edit ['edit]
editing ['editiŋ]
edition [i'diʃәn]
editor ['editә]
editorial [.edi'tɒ:riәl]
educate ['edjukeit]
educated ['edjukeitid]
education [.edju'keiʃәn]
educational [.edju'keiʃәnl]
educator ['edjukeitә]
eel [i:l]
eerie ['iәri]
effect [i'fekt]
effective [i'fektiv]
effectively [i'fektivli]
effectiveness [i'fektivnis]
efficacy ['efikәsi]
efficiency [i'fiʃәnsi]
efficient [i'fiʃәnt]
efficiently [i'fiʃәntli]
effigy ['efidʒi]
effluent ['efluәnt]
effort ['efәt]
effortless ['efәtlis]
effortlessly ['efətləslɪ]
egalitarian [i.gæli'tєәriәn]
egg [eg]
eggplant ['egplɑ:nt]
ego "['egәu. 'i:gәu]"
egregious [i'gri:dʒiәs]
Egyptian [i'dʒipʃәn]
eh [ei]
eight [eit]
eighteen ['ei'ti:n]
eighteenth [ei'ti:nθ]
eighth [eitθ]
eighty ['eiti]
either ['i:ðә]
eject [i'dʒekt]
elaborate [i'læbәreit]
elaborately [i'læbәreitli]
elaboration [i.læbә'reiʃәn]
elapse [i'læps]
elastic [i'læstik]
elasticity [i.læs'tisiti]
elated [i'leitid]
elation [i'leiʃәn]
elbow ['elbәu]
elder ['eldә]
elderly ['eldәli]
eldest ['eldist]
elect [i'lekt]
elected [i'lektid]
election [i'lekʃәn]
elective [i'lektiv]
electoral [i'lektәrәl]
electorate [i'lektәrit]
electric [i'lektik]
electrical [i'lektrikәl]
electrically [i'lektrikәli]
electrician [.ilek'triʃәn]
electricity [.ilek'trisiti]
electrify [i'lektrifai]
electrode [i'lektrәud]
electromagnetic [ilektrәj'mæ^nitik]
electron [i'lektrɒn]
electronic [.ilek'trɒnik]
electronics [.ilek'trɒniks]
elegance ['eligәns]
elegant ['eligәnt]
element ['elimәnt]
elemental [.eli'mentәl]
elementary [.eli'mentәri]
elephant ['elifәnt]
elevate ['eliveit]
elevated ['eliveitid]
elevation [.eli'veiʃәn]
elevator ['eliveitә]
eleven [i'levn]
eleventh [i'levnθ]
elicit [i'lisit]
eligibility [.elidʒә'biliti]
eligible ['elidʒәbl]
eliminate [i'limineit]
elimination [i.limi'neiʃәn]
elite [ei'li:t]
elitist [ei'litist]
elixir [i'liksә]
elk [elk]
elliptical [i'liptikәl]
elm [elm]
elongated [ˈi:lɒŋgeɪtɪd]
eloquence ['elәkwәns]
eloquent ['elәkwәnt]
else [els]
elsewhere ['elshwєә]
elucidate [i'lu:sideit]
elude [i'lu:d]
elusive [i'lu:siv]
emanate ['emәneit]
emancipation [i.mænsi'peiʃәn]
embankment [im'bæŋkmәnt]
embargo [im'bɑ:gәu]
embark [im'bɑ:k]
embarrass [im'bærәs]
embarrassed [im'bærәst]
embarrassing [im'bærәsiŋ]
embarrassment [im'bærәsmәnt]
embassy ['embәsi]
embattled [ɪmˈbætld]
embed [im'bed]
embedded [im'bedid]
embellish [im'beliʃ]
embellishment [im'beliʃmәnt]
ember ['embә]
emblazon [im'bleizn]
emblem ['emblәm]
emblematic [,embli'mætik]
embodiment [im'bɒdimәnt]
embody [im'bɒdi]
embolden [im'bәuldn]
embrace [im'breis]
embroider [im'brɒidә]
embroidery [im'brɒidәri]
embroil [im'brɒil]
embryo ['embriәu]
embryonic [.embri'ɒnik]
emerald ['emәrәld]
emerge [i'mә:dʒ]
emergence [i'mә:dʒәns]
emergency [i'mә:dʒәnsi]
emergent [i'mә:dʒәnt]
emeritus [i'meritәs]
emigrant ['emigrәnt]
emigrate ['emigreit]
emigration [.emi'greiʃәn]
eminent ['eminәnt]
emissary ['emisәri]
emission [i'miʃәn]
emit [i'mit]
Emmy ['emi]
emotion [i'mәuʃәn]
emotional [i'mәuʃәnәl]
emotionally [i'mәuʃәnәli]
empathetic "[em'pæθik. .empә'θetik]"
empathize ['empәθaiz]
empathy ['empæθik]
emperor ['empәrә]
emphasis ['emfәsis]
emphasize ['emfәsaiz]
emphatic [im'fætik]
emphatically [im'fætikәli]
emphysema [.emfi'si:mә]
empire ['empaiә]
empirical [em'pirikәl]
employ [im'plɒi]
employee [.emplɒi'i:]
employer [im'plɒiә]
employment [im'plɒimәnt]
empower [im'pauә]
empowering [ɪm'paʊərɪŋ]
empowerment [ɪm'paʊəmənt]
emptiness ['emptinis]
empty ['empti]
emulate ['emjuleit]
enable [i'neibl]
enact [i'nækt]
enactment [i'næktm(ә)nt]
enamel [i'næml]
enamor [i'næmә]
encampment [in'kæmpmәnt]
encapsulate [in'kæpsәleit]
encase [in'keis]
enchant [in'tʃænt]
enchanted [ɪnˈtʃɑ:ntɪd]
enchanting [in'tʃæntiŋ]
enchantment [in'tʃæntmәnt]
encircle [in'sә:kl]
enclave [en'cleiv]
enclose [in'klәuz]
enclosed [in'klәuzd]
enclosure [in'klәuʒә]
encode [in'kәud]
encompass [in'kʌmpәs]
encore [ɒŋ'kɒ:]
encounter [in'kauntә]
encourage [in'kʌridʒ]
encouragement [in'kʌridʒmәnt]
encouraging [in'kʌridʒiŋ]
encroach [in'krәutʃ]
encroachment [in'krәutʃmәnt]
encryption [-'kripʃən]
encyclopedia [in.saiklәu'pi:diә]
end [end]
endanger [in'deindʒә]
endangered [in'deindʒәd]
endear [in'diә]
endearing [in'diәriŋ]
endeavor [in'devә]
endemic [en'demik]
ending ['endiŋ]
endless ['endlis]
endlessly ['endlisli]
endorse [in'dɒ:s]
endorsement [in'dɒ:smәnt]
endoscopic [en,dɔs'kɔpik]
endow [in'dau]
endowment [in'daumәnt]
endurance [in'djuәrәns]
endure [in'djuә]
enduring [in'djuәriŋ]
enemy ['enimi]
energetic [.enә'dʒetik]
energetically [.enә'dʒetikәli]
energize ['enәdʒaiz]
energy ['enәdʒi]
energy-efficient ['enədʒi:ɪf'ɪʃnt]
enforce [in'fɒ:s]
enforceable "[in'fɔ: sәbl]"
enforced [in'fɔ:sid]
enforcement [in'fɒ:smәnt]
engage [in'geidʒ]
engaged [in'geidʒd]
engagement [in'geidʒdmәnt]
engaging [in'geidʒiŋ]
engender [in'dʒendә]
engine ['endʒin]
engineer [.endʒi'niә]
engineering [.endʒi'niәriŋ]
English ['iŋgliʃ]
Englishman ['iŋgliʃmәn]
engrave [in'greiv]
engraved [inˈɡreivd]
engraving [in'greiviŋ]
engross [in'grәus]
engulf [in'gʌlf]
enhance [in'hæns]
enhanced "[in'hɑ:nst. -'hænst]"
enhancement [in'hɑ:nsmәnt]
enigma [i'nigmә]
enigmatic [.enig'mætik]
enjoin [in'dʒɒin]
enjoy [in'dʒɒi]
enjoyable [in'dʒɒiәbl]
enjoyment [in'dʒɒimәnt]
enlarge [in'lɑ:dʒ]
enlarged [inˈlɑ:dʒd]
enlargement [in'lɑ:dʒmәnt]
enlighten [in'laitn]
enlightened [in'laitnd]
enlightenment [in'laitmәnt]
enlist [in'list]
enlistment [in'listmәnt]
enliven [in'laivn]
enmity ['enmәti]
enormity [i'nɒ:miti]
enormous [i'nɒ:mәs]
enormously [i'nɒ:mәsli]
enough [i'nʌf]
enrage [in'reidʒ]
enraged [enˈreɪdʒd]
enrich [in'ritʃ]
enriched [in'ritʃt]
enrichment [in'ritʃmәnt]
enroll [in'rәul]
enrollment [in'rәulmәnt]
ensconced [enˈskɔnst]
ensemble [ɒn'sɒŋblә]
enshrine [in'ʃrain]
enslave [in'sleiv]
ensue [en'su:]
ensure [in'ʃuә]
entail [in'teil]
entangle [in'tæŋgl]
entanglement [in'tæŋglmәnt]
enter ['entә]
enterprise ['entәpraiz]
enterprising ['entәpraiziŋ]
entertain [.entә'tein]
entertainer [.entә'teinә]
entertaining [.entә'teiniŋ]
entertainment [.entә'teinmәnt]
enthuse [in'θju:z]
enthusiasm [in'θju:ziæzәm]
enthusiast [in'θju:ziæst]
enthusiastic [in.θju:zi'æstik]
enthusiastically [in.θju:zi'æstikli]
entice [in'tais]
enticing [in'taisiŋ]
entire [in'taiә]
entirely [in'taiәli]
entirety [in'taiәti]
entitle [in'taitl]
entity ['entiti]
entomologist [.entәmә'lɒdʒist]
entourage [,ɔntu'rɑ:ʒ]
entrance ['entrәns]
entrant ['entrәnt]
entree ['ɒntrei]
entrench [in'trentʃ]
entrepreneur [.ɒntrәprә'nә:]
entrepreneurial [ˌɒntrəprə'nɜ:rɪəl]
entrepreneurship [,ɑntrəprə'nɝʃɪp]
entrust [in'trʌst]
entry ['entri]
entry-level [ˈentri:ˌlevəl]
entryway ['entri,wei]
entwine [in'twain]
enumerate [i'nju:mәreit]
enunciate [i'nʌnsieit]
envelop [in'velәp]
envelope ['envәlәup]
enviable ['enviәbl]
envious ['enviәs]
environment [in'vairәnmәnt]
environmental [in.vaiәrәn'mentәl]
environmentalism [in,vaiәrәn'mentlizm]
environmentalist [in,vaiәrәn'mentlist]
environs [in'vaiәrәnz]
envisage [in'vizidʒ]
envision [in'viʒәn]
envoy ['envɒi]
envy ['envi]
enzyme ['enzaim]
eon ['i:әn]
ephemeral [i'femәrәl]
epic ['epik]
epicenter ['episentә]
epidemic [.epi'demik]
epidemiologist ['epi,di:mi'ɔlәdʒist]
epidemiology [,epi,di:mi'ɔlәdʒi]
epilepsy ['epilepsi]
episode ['episәud]
episodic [.epi'sɒdik]
epistemological [,episti(:)mә'lɔdʒikәl]
epistemology [i.pisti:'mɒlәdʒi]
epithet ['epiθet]
epitome [i'pitәmi]
epitomize [i'pitәmaiz]
epoch ['i:pɒk]
equal ['i:kwәl]
equality [i:'kwɒliti]
equalize ['i:kwәlaiz]
equally ['i:kwәli]
equate [i'kweit]
equation [i'kweiʃәn]
equator [i'kweitә]
equatorial [.ekwә'tɒ:riәl]
equestrian [i'kwestriәn]
equilibrium [.i:kwi'libriәm]
equip [i'kwip]
equipment [i'kwipmәnt]
equitable ['ekwitәbl]
equity ['ekwiti]
equivalence [i'kwivәlәns]
equivalent [i'kwivәlәnt]
era ['iәrә]
eradicate [i'rædikeit]
eradication [i,rædi'keiʃәn]
erase [i'reis]
eraser [i'reisә]
erect [i'rekt]
erection [i'rekʃәn]
erode [i'rәud]
eroding [ɪˈrəʊdɪŋ]
erosion [i'rәuʒәn]
erotic [i'rɒtik]
err [ә:]
errand ['erәnd]
errant ['erәnt]
erratic [i'rætik]
erroneous [i'rәuniәs]
error ['erә]
erstwhile ['ә:stwail]
erupt [i'rʌpt]
eruption [i'rʌpʃәn]
escalate ['eskәleit]
escalating [ˈeskəleitɪŋ]
escalation [.eskә'leiʃәn]
escalator ['eskәleitә]
escape [i'skeip]
eschew [is'tʃu:]
escort ['eskɒ:t]
esophagus [i:'sɒfәgәs]
esoteric [.esәu'terik]
especially [i'speʃәli]
espionage [.espiә'nɑ:ʒ]
espouse [i'spauz]
espresso [e'spresәu]
essay "['esei. e'sei]"
essayist ['eseiist]
essence ['esns]
essential [i'senʃәl]
essentially [i'senʃәli]
establish [i'stæbliʃ]
established [is'tæbliʃt]
establishment [i'stæbliʃmәnt]
estate [i'steit]
esteem [i'sti:m]
estimate ['estimeit]
estimation [.esti'meiʃәn]
estranged [i'streindʒd]
estrangement [i'streindʒmәnt]
estrogen ['estrәdʒәn]
estuary ['estjuәri]
etch [etʃ]
etching ['etʃiŋ]
eternal [i'tә:nl]
eternally [i't\\\\:nәli]
eternity [i'tә:niti]
ethanol ['eθәnәul]
ether ['i:θә]
ethereal [i'θiriәl]
ethic ['eθik]
ethical ['eθikәl]
ethicist ['eθisist]
ethics ['eθiks]
Ethiopian [.i:θi'әupiәn]
ethnic ['eθnik]
ethnically ['eθnikli]
ethnicity [eθ'nisәti]
ethnographer [eθ'nɒgrәfә]
ethnographic [ˌeθnə'ɡræfɪk]
ethnography [eθ'nɒgrәfi]
ethos ['i:θɔs]
etiology [,i:ti'ɔlәdʒi]
etiquette [eti'ket]
Eucharist ['ju:kәrist]
eucharistic [,ju:kə'ristik]
eulogy ['ju:lәdʒi]
euphemism ['ju:fәmizm]
euphoria [ju:'fɒ:riә]
euphoric [ju:'fɔrik]
eureka [juә'ri:kә]
euro ['juәrәu]
Euro-American [,juərəuə'merikən]
European [.juәrә'pi:әn]
euthanasia [.ju:θә'neizjә]
evacuate [i'vækjueit]
evacuation [i.vækju'eiʃәn]
evacuee [i.vækju'i:]
evade [i'veid]
evaluate [i'væljueit]
evaluation [i.vælju'eiʃәn]
evaluative [i'væljueitiv]
evaluator [i'væljjeitә(r)]
evangelical [,i:væn'dʒelikәl]
evangelist [i'vændʒilist]
evaporate [i'væpәreit]
evaporation [i.væpә'reiʃәn]
evasion [i'veiʒәn]
evasive [i'veisiv]
eve [i:v]
even ['i:vәn]
evening ['i:vniŋ]
evenly ['i:vәnli]
event [i'vent]
eventual [i'ventʃuәl]
