word phonetic definition
excision [ek'siʒәn] "n the omission that is made when an editorial change shortens a written passage\nn surgical removal of a body part or tissue\nn the act of banishing a member of a church from the communion of believers and the privileges of the church; cutting a person off from a religious society\nn the act of pulling up or out; uprooting; cutting off from existence"
excite [ik'sait] "v. arouse or elicit a feeling\nv. raise to a higher energy level\nv. produce a magnetic field in"
excited [ik'saitid] "a. in an aroused state"
excitedly [ik'saitidli] "r. with excitement; in an excited manner"
excitement [ik'saitmәnt] "n. the state of being emotionally aroused and worked up"
exciting [ik'saitiŋ] "a. creating or arousing excitement\ns. stimulating interest and discussion"
exclaim [iks'kleim] "v. utter aloud; often with surprise, horror, or joy"
exclamation [.eksklә'meiʃәn] "n. an abrupt excited utterance\nn. a loud complaint or protest or reproach"
exclude [iks'klu:d] "v. prevent from being included or considered or accepted\nv. prevent from entering; shut out\nv. lack or fail to include"
exclusion [ik'sklu:ʒәn] "n. the state of being excluded"
exclusionary [ɪkˈsklu:ʒənri] "a. Tending to exclude; causing exclusion; exclusive."
exclusive [ik'sklu:siv] "n. a news report that is reported first by one news organization\ns. not divided or shared with others\na. excluding much or all; especially all but a particular group or minority"
exclusively [ik'sklu:sivli] "r without any others being included or involved"
exclusivity [,eksklu:'siviti] 
excruciating [iks'kru:ʃieitiŋ] "v torment emotionally or mentally\nv subject to torture\ns extremely painful"
excursion [ik'skә:ʒәn] "n. a journey taken for pleasure"
excuse [ik'skju:z] "n. a defense of some offensive behavior or some failure to keep a promise etc.\nn. a note explaining an absence\nv. accept an excuse for\nv. grant exemption or release to"
exec [i^'zek] "n the chief executive department of the United States government"
execute ['eksikju:t] "v. kill as a means of socially sanctioned punishment\nv. murder in a planned fashion\nv. carry out the legalities of\nv. sign in the presence of witnesses"
execution [.eksi'kju:ʃәn] "n. putting a condemned person to death\nn. (computer science) the process of carrying out an instruction by a computer\nn. (law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable"
executioner [.eksi'kju:ʃәnә] "n. an official who inflicts capital punishment in pursuit of a warrant"
executive [ig'zekjutiv] "n. a person responsible for the administration of a business\nn. persons who administer the law\na. having the function of carrying out plans or orders etc."
exemplary [ig'zemplәri] "s. worthy of imitation"
exemplify [ig'zemplifai] "v. be characteristic of\nv. clarify by giving an example of"
exempt [ig'zempt] "v. grant relief or an exemption from a rule or requirement to\na. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
exemption [ig'zempʃәn] "n. immunity from an obligation or duty\nn. a deduction allowed to a taxpayer because of his status (having certain dependents or being blind or being over 65 etc.)\nn. an act exempting someone"
exercise ['eksәsaiz] "n. the activity of exerting your muscles in various ways to keep fit\nn. systematic training by multiple repetitions\nn. a task performed or problem solved in order to develop skill or understanding\nn. (usually plural) a ceremony that involves processions and speeches"
exert [ig'zә:t] "v. put to use\nv. make a great effort at a mental or physical task"
exertion [ig'zә:ʃәn] "n use of physical or mental energy; hard work"
exhale [eks'heil] "v. expel air\nv. give out (breath or an odor)"
exhaust [ig'zɒ:st] "n. gases ejected from an engine as waste products\nn. system consisting of the parts of an engine through which burned gases or steam are discharged\nv. wear out completely\nv. use up the whole supply of"
exhausted [iɡ'zɔ:stid] "s. drained of energy or effectiveness; extremely tired; completely exhausted\na. depleted of energy, force, or strength\ns. drained physically"
exhausting [i^'zɔ:stiŋ] "s. producing exhaustion"
exhaustion [ig'zɒ:stʃәn] "n. extreme fatigue\nn. the act of exhausting something entirely"
exhaustive [ig'zɒ:stiv] "s. performed comprehensively and completely"
exhibit [ig'zibit] "n. an object or statement produced before a court of law and referred to while giving evidence\nv. show an attribute, property, knowledge, or skill"
exhibition [.eksi'biʃәn] "n. the act of exhibiting\nn. a collection of things (goods or works of art etc.) for public display"
exhibitor [i^'zibitә(r)] "n. someone who organizes an exhibit for others to see"
exhilarating [ig'zilәreitiŋ] "s. making lively and cheerful"
exhilaration [ig.zilә'reiʃәn] "n. the feeling of lively and cheerful joy"
exhort [ig'zɒ:t] "v spur on or encourage especially by cheers and shouts\nv force or impel in an indicated direction"
exhortation [.egzɒ:'teiʃәn] "n. a communication intended to urge or persuade the recipients to take some action\nn. the act of exhorting; an earnest attempt at persuasion"
exile ['eksail] "n. a person who is voluntarily absent from home or country\nn. a person who is expelled from home or country by authority\nn. the act of expelling a person from their native land"
exist [ig'zist] "v. have an existence, be extant\nv. support oneself"
existence [ig'zistәns] "n the state or fact of existing\nn everything that exists anywhere"
existential [.egzis'tenʃәl] "a. of or as conceived by existentialism\na. relating to or dealing with existence (especially with human existence)"
existing [i^'zistiŋ] "s. presently existing\ns. existing in something specified"
exit ['eksit] "n. an opening that permits escape or release\nn. the act of going out\nv. move out of or depart from\nv. lose the lead"
exodus ['eksәdәs] "n. a journey by a large group to escape from a hostile environment\nn. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
exonerate [ig'zɒnәreit] "v pronounce not guilty of criminal charges"
exorbitant [ig'zɒ:bitәnt] "s. greatly exceeding bounds of reason or moderation"
exotic [ig'zɒtik] "s. strikingly strange or unusual"
expand [ik'spænd] "v. extend in one or more directions\nv. become larger in size or volume or quantity\nv. make bigger or wider in size, volume, or quantity"
expanded [ik'spendid] "a. increased in extent or size or bulk or scope"
expanding [iks'pændiŋ] "v extend in one or more directions\nv become larger in size or volume or quantity\nv make bigger or wider in size, volume, or quantity\nv grow vigorously\nv exaggerate or make bigger\nv add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing\nv expand the influence of"
expanse [ik'spæns] "n. a wide and open space or area as of surface or land or sky"
expansion [ik'spænʃәn] "n. the act of increasing (something) in size or volume or quantity or scope\nn. a function expressed as a sum or product of terms\nn. a discussion that provides additional information"
expansive [ik'spænsiv] "a. able or tending to expand or characterized by expansion\ns. of behavior that is impressive and ambitious in scale or scope\ns. marked by exaggerated feelings of euphoria and delusions of grandeur\ns. friendly and open and willing to talk"
expatriate [eks'peitrieit] "v. expel from a country\nv. move away from one's native country and adopt a new residence abroad"
expect [iks'pekt] "v. regard something as probable or likely\nv. look forward to the probable occurrence of\nv. consider reasonable or due\nv. look forward to the birth of a child"
expectancy [ik'spektәnsi] "n an expectation\nn something expected (as on the basis of a norm)"
expectant [iks'pektәnt] "s marked by eager anticipation\ns in an advanced stage of pregnancy"
expectation [.ekspek'teiʃәn] "n. belief about (or mental picture of) the future\nn. the feeling that something is about to happen"
expedite ['ekspidait] "v. speed up the progress of; facilitate\nv. process fast and efficiently"
expedition [.ekspi'diʃәn] "n. a military campaign designed to achieve a specific objective in a foreign country\nn. an organized group of people undertaking a journey for a particular purpose\nn. a journey organized for a particular purpose"
expel [ik'spel] "v. force to leave or move out"
expend [ik'spend] "v use up, consume fully\nv pay out"
expendable [iks'pendәbl] "a. suitable to be expended\ns. (used of funds) remaining after taxes"
expenditure [ik'spenditʃә] "n money paid out; an amount spent\nn the act of spending money for goods or services\nn the act of consuming something"
expense [ik'spens] "n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)\nn. a detriment or sacrifice\nn. money spent to perform work and usually reimbursed by an employer\nv. reduce the estimated value of something"
expensive [ik'spensiv] "a. high in price or charging high prices"
experience [ik'spiәriәns] "n. the accumulation of knowledge or skill that results from direct participation in events or activities\nn. the content of direct observation or participation in an event\nn. an event as apprehended\nv. go or live through"
experienced [ik'spiәriәnst] "a. having experience; having knowledge or skill from observation or participation"
experiential [ik.spiәri'enʃәl] "a. relating to or resulting from experience\ns. derived from experience or the experience of existence"
experiment [ik'sperimәnt] "n. the act of conducting a controlled test or investigation\nn. the testing of an idea\nn. a venture at something new or different\nv. to conduct a test or investigation"
experimental [ik.speri'mentәl] "a. relating to or based on experiment\ns. relying on observation or experiment\ns. of the nature of or undergoing an experiment"
experimentally [ik.speri'mentli] "r. in an experimental fashion"
experimentation [eks,perimen'teiʃәn] "n the testing of an idea\nn the act of conducting a controlled test or investigation"
expert ['ekspә:t] "n. a person with special knowledge or ability who performs skillfully"
expertise [.ekspә:'ti:z] "n skillfulness by virtue of possessing special knowledge"
expiration [.ekspi'reiʃәn] "n a coming to an end of a contract period\nn euphemistic expressions for death\nn the act of expelling air from the lungs"
expire [ik'spaiә] "v lose validity\nv pass from physical life and lose all bodily attributes and functions necessary to sustain life\nv expel air"
explain [ik'splein] "v. make plain and comprehensible\nv. define"
explanation [.eksplә'neiʃәn] "n. a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.\nn. thought that makes something comprehensible\nn. the act of explaining; making something plain or intelligible"
explanatory [ik'splænәtәri] "s. serving or intended to explain or make clear"
expletive [eks'pli:tiv] "n. a word or phrase conveying no independent meaning but added to fill out a sentence or metrical line"
explicit [ik'splisit] "a. precisely and clearly expressed or readily observable; leaving nothing to implication"
explode [ik'splәud] "v. cause to burst with a violent release of energy\nv. burst outward, usually with noise\nv. show a violent emotional reaction\nv. be unleashed; emerge with violence or noise"
exploit ['eksplɒit] "v. use or manipulate to one's advantage\nv. draw from; make good use of"
exploitation [.eksplɒi'teiʃәn] "n. the act of making some area of land or water more profitable or productive or useful\nn. an act that exploits or victimizes someone (treats them unfairly)"
exploited [iksˈplɔitid] "a. developed or used to greatest advantage\ns. of persons; taken advantage of"
exploration [.eksplә'reiʃәn] "n. to travel for the purpose of discovery\nn. a careful systematic search\nn. a systematic consideration"
exploratory [iks'plɔ:rәtәri] "a. serving in or intended for exploration or discovery"
explore [ik'splɒ:] "v. travel to or penetrate into\nv. examine minutely\nv. examine (organs) for diagnostic purposes"
explorer [ik'splɒ:rә] "n. someone who travels into little known regions (especially for some scientific purpose)"
explosion [ik'splәuʒәn] "n. a violent release of energy caused by a chemical or nuclear reaction\nn. the act of exploding or bursting\nn. a sudden great increase\nn. the noise caused by an explosion"
explosive [ik'splәusiv] "n. a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck\na. serving to explode or characterized by explosion or sudden outburst\ns. liable to lead to sudden change or violence\ns. sudden and loud"
exponential [.ekspәu'nenʃәl] "n. a function in which an independent variable appears as an exponent\na. of or involving exponents"
exponentially [ˌekspə'nenʃəlɪ] "r. in an exponential manner"
export [ik'spɒ:t] "n. commodities (goods or services) sold to a foreign country\nv. sell or transfer abroad\nv. transfer (electronic data) out of a database or document in a format that can be used by other programs\nv. cause to spread in another part of the world"
exporter [ik'spɒ:tә] "n. a businessperson who transports goods abroad (for sale)"
expose [ik'spәuz] "n. the exposure of an impostor or a fraud\nv. expose or make accessible to some action or influence\nv. to show, make visible or apparent\nv. expose to light, of photographic film"
exposed [ik'spәuzd] "s. with no protection or shield\ns. not covered with clothing"
exposition [.ekspә'ziʃәn] "n. a systematic interpretation or explanation (usually written) of a specific topic\nn. an account that sets forth the meaning or intent of a writing or discourse\nn. (music) the section of a movement (especially in sonata form) where the major musical themes first occur"
exposure [ik'spәuʒә] "n. vulnerability to the elements; to the action of heat or cold or wind or rain; \nn. the act of subjecting someone to an influencing experience\nn. the disclosure of something secret\nn. aspect resulting from the direction a building or window faces"
expound [ik'spaund] "v add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing\nv state"
express [ik'spres] "n. mail that is distributed by a rapid and efficient system\nn. public transport consisting of a fast train or bus that makes only a few scheduled stops\nn. rapid transport of goods\nv. give expression to"
expressed [iksˈprest] "s. communicated in words"
expression [ik'spreʃәn] "n. the feelings expressed on a person's face\nn. expression without words\nn. the communication (in speech or writing) of your beliefs or opinions\nn. (genetics) the process of expressing a gene"
expressionless [ik'spreʃәnlis] "s deliberately impassive in manner"
expressive [ik'spresiv] "s. characterized by expression"
expressly [ik'spresli] "r. with specific intentions; for the express purpose"
expulsion [ik'spʌlʃәn] "n. the act of expelling or projecting or ejecting"
exquisite ['ekskwizit] "s. intense or sharp\ns. lavishly elegant and refined\ns. of extreme beauty"
exquisitely ['ekskwizitli] "r in a delicate manner"
extant [ek'stænt] "a. still in existence; not extinct or destroyed or lost"
extend [ik'stend] "v. make available; provide\nv. reach outward in space\nv. expand the influence of\nv. open or straighten out; unbend"
extended [ik'stendid] "a. fully extended or stretched forth\ns. beyond the literal or primary sense"
extension [ik'stenʃәn] "n. a mutually agreed delay in the date set for the completion of a job or payment of a debt\nn. act of expanding in scope; making more widely available\nn. an educational opportunity provided by colleges and universities to people who are not enrolled as regular students\nn. act of stretching or straightening out a flexed limb"
extensive [ik'stensiv] "s. large in spatial extent or range or scope or quantity\na. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
extent [ik'stent] "n. the point or degree to which something extends\nn. the distance or area or volume over which something extends"
exterior [ik'stiәriә] "a. situated in or suitable for the outdoors or outside of a building"
exterminate [ik'stә:mineit] "v. kill en masse; kill on a large scale; kill many"
extermination [ik.stә:mi'neiʃәn] "n. the act of exterminating"
external [ik'stә:nl] "n. outward features\na. happening or arising or located outside or beyond some limits or especially surface\ns. coming from the outside\ns. from or between other countries"
externality [.ekstә:'næliti] "n the quality or state of being outside or directed toward or relating to the outside or exterior"
externalize [ik'stә:nәlaiz] "v regard as objective\nv make external or objective, or give reality to"
extinct [ik'stiŋkt] "a. no longer in existence; lost or especially having died out leaving no living representatives\na. (of e.g. volcanos) permanently inactive\ns. being out or having grown cold"
extinction [ik'stiŋkʃәn] "n. no longer active; extinguished\nn. no longer in existence\nn. the reduction of the intensity of radiation as a consequence of absorption and radiation"
extinguish [ik'stiŋgwiʃ] "v. terminate, end, or take out"
extinguisher [ik'stiŋ^wiʃә(r)] "n a manually operated device for extinguishing small fires"
extol [ik'stәul] "v praise, glorify, or honor"
extortion [ik'stɒ:ʃәn] "n. an exorbitant charge\nn. unjust exaction (as by the misuse of authority)\nn. the felonious act of extorting money (as by threats of violence)"
extra ['ekstrә] "n. an additional edition of a newspaper (usually to report a crisis)\nn. something additional of the same kind\ns. added to a regular schedule\ns. further or added"
extract [ik'strækt] "v. remove, usually with some force or effort; also used in an abstract sense\nv. get despite difficulties or obstacles\nv. separate (a metal) from an ore\nv. calculate the root of a number"
extraction [ik'strækʃәn] "n. the process of obtaining something from a mixture or compound by chemical or physical or mechanical means\nn. the action of taking out something (especially using effort or force)"
extracurricular [.ekstrәkә'rikjulә] "s. outside the regular academic curriculum\ns. outside the regular duties of your job or profession"
extradition [.ekstrә'diʃәn] "n. the surrender of an accused or convicted person by one state or country to another (usually under the provisions of a statute or treaty)"
extramarital [.ekstrә'mæritl] "s characterized by adultery"
extraneous [ek'streiniәs] "s. not pertinent to the matter under consideration\ns. not essential\ns. not belonging to that in which it is contained; introduced from an outside source"
extraordinarily [ik'strɔ:dθnәrili] "r extremely"
extraordinary [ik'strɒ:dәnәri] "a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable\ns. far more than usual or expected\ns. (of an official) serving an unusual or special function in addition to those of the regular officials"
extrapolate [ek'stræpәleit] "v. gain knowledge of (an area not known or experienced) by extrapolating"
extraterrestrial [,ekstrәtә'restriәl] "a. originating or located or occurring outside Earth or its atmosphere"
extravagance [ik'strævәgәns] "n. the quality of exceeding the appropriate limits of decorum or probability or truth\nn. the trait of spending extravagantly\nn. excessive spending"
extravagant [ik'strævgәnt] "s. recklessly wasteful"
extravaganza [eks,trævә'^ænzә] "n. any lavishly staged or spectacular entertainment"
extreme [ik'stri:m] "n. the furthest or highest degree of something\ns. of the greatest possible degree or extent or intensity\ns. far beyond a norm in quantity or amount or degree; to an utmost degree\ns. beyond a norm in views or actions"
extremely [ik'stri:mli] "r. to an extreme degree"
extremism [ik'stri:mizm] "n. any political theory favoring immoderate uncompromising policies"
extremist [iks'tri:mist] "n. a person who holds extreme views\ns. (used of opinions and actions) far beyond the norm"
extremity [ik'stremiti] "n. an external body part that projects from the body\nn. an extreme condition or state (especially of adversity or disease)\nn. the greatest or utmost degree"
extricate ['ekstrikeit] "v. release from entanglement of difficulty"
extrinsic [ek'strinsik] "a. not forming an essential part of a thing or arising or originating from the outside"
exuberance [ig'zju:bәrәns] "n. joyful enthusiasm\nn. overflowing with eager enjoyment or approval"
exuberant [ig'zju:bәrәnt] "s. produced or growing in extreme abundance"
exude [ig'zju:d] "v. release (a liquid) in drops or small quantities\nv. make apparent by one's mood or behavior"
eye [ai] "n. the organ of sight\nn. good discernment (either visually or as if visually)\nn. attention to what is seen\nn. a small hole or loop (as in a needle)"
eyeball ['aibɒ:l] "n. the ball-shaped capsule containing the vertebrate eye"
eyebrow ['aibrau] "n. the arch of hair above each eye"
eyeglass ['aiglæs] "n lens for correcting defective vision in one eye; held in place by facial muscles"
eyelash ['ailæʃ] "n. any of the short curved hairs that grow from the edges of the eyelids"
eyelid ['ailid] "n. either of two folds of skin that can be moved to cover or open the eye"
eyepiece ['aipi:s] "n. combination of lenses at the viewing end of optical instruments"
eyesight ['aisait] "n. normal use of the faculty of vision"
eyewitness [ai'witnis] "n. a spectator who can describe what happened\nv. be present at an event and see it with one's own eyes"
fab [fæb] "s extremely pleasing"
fable ['feibl] "n. a short moral story (often with animal characters)"
fabled ['feibld] "s. celebrated in fable or legend"
fabric ['fæbrik] "n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers"
fabricate ['fæbrikeit] "v. make up something artificial or untrue"
fabrication [.fæbri'keiʃәn] "n. a deliberately false or improbable account\nn. writing in a fictional form\nn. the act of making something (a product) from raw materials"
fabulous ['fæbjulәs] "s. extremely pleasing\ns. based on or told of in traditional stories; lacking factual basis or historical validity\ns. barely credible"
facade [fә'sɑ:d] "n. the face or front of a building\nn. a showy misrepresentation intended to conceal something unpleasant"
face [feis] "n. the front of the human head from the forehead to the chin and ear to ear\nn. the general outward appearance of something\nn. the striking or working surface of an implement\nn. a part of a person that is used to refer to a person"
face-lift ['feɪsl'ɪft] "v perform cosmetic surgery on someone's face"
faceless ['feislis] "a. without a face or identity"
facet ['fæsit] "n. a smooth surface (as of a bone or cut gemstone)"
facial ['feiʃәl] "n. cranial nerve that supplies facial muscles\nn. care for the face that usually involves cleansing and massage and the application of cosmetic creams\na. of or concerning the face\na. of or pertaining to the outside surface of an object"
facilitate [fә'siliteit] "v. make easier\nv. increase the likelihood of (a response)"
facilitator [fә'siliteitә] "n. someone who makes progress easier"
facility [fә'siliti] "n. a building or place that provides a particular service or is used for a particular industry\nn. a natural effortlessness\nn. something designed and created to serve a particular function and to afford a particular convenience or service\nn. a service that an organization or a piece of equipment offers you"
facsimile [fæk'simili] "n. an exact copy or reproduction\nn. duplicator that transmits the copy by wire or radio"
fact [fækt] "n. a piece of information about circumstances that exist or events that have occurred\nn. a statement or assertion of verified information about something that is the case or has happened\nn. an event known to have happened or something known to have existed\nn. a concept whose truth can be proved"
faction ['fækʃәn] "n. a dissenting clique"
factor ['fæktә] "n. anything that contributes causally to a result\nn. any of the numbers (or symbols) that form a product when multiplied together\nn. an independent variable in statistics\nv. resolve into factors"
factory ['fæktәri] "n. a plant consisting of one or more buildings with facilities for manufacturing"
factual ['fæktʃuәl] "a. of or relating to or characterized by facts"
faculty ['fækәlti] "n. one of the inherent cognitive or perceptual powers of the mind"
fad [fæd] "n. an interest followed with exaggerated zeal"
fade [feid] "n. gradually ceasing to be visible\nv. become less clearly visible or distinguishable; disappear gradually or seemingly\nv. lose freshness, vigor, or vitality"
faded ['feidid] "v become less clearly visible or distinguishable; disappear gradually or seemingly\nv lose freshness, vigor, or vitality\nv disappear gradually\nv become feeble\ns having lost freshness or brilliance of color\ns reduced in strength"
fading ['feidiŋ] "n weakening in force or intensity\nv become less clearly visible or distinguishable; disappear gradually or seemingly\nv lose freshness, vigor, or vitality\nv disappear gradually\nv become feeble"
fail [feil] "v. fail to do something; leave something undone\nv. be unsuccessful\nv. disappoint, prove undependable to; abandon, forsake\nv. stop operating or functioning"
failing ['feiliŋ] "n. a flaw or weak point\nn. failure to reach a minimum required performance\ns. below acceptable in performance"
failure ['feiljә] "n. an act that fails\nn. an event that does not accomplish its intended purpose\nn. lack of success\nn. a person with a record of failing; someone who loses consistently"
faint [feint] "n. a spontaneous loss of consciousness caused by insufficient blood to the brain\nv. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain\ns. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc\ns. lacking strength or vigor"
faintly ['feintli] "r. to a faint degree or weakly perceived"
fair [fєә] "n. gathering of producers to promote business\nn. a competitive exhibition of farm products\nv. join so that the external surfaces blend smoothly\na. free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
fairly ['fєәli] "r. without favoring one party, in a fair evenhanded manner\nr. in conformity with the rules or laws and without fraud or cheating"
fairness ['fєәnis] "n. conformity with rules or standards\nn. ability to make judgments free from discrimination or dishonesty"
fairway ['fєәwei] "n. the area between the tee and putting green where the grass is cut short\nn. the usual course taken by vessels through a harbor or coastal waters\nn. a tract of ground free of obstacles to movement"
fairy ['fєәri] "n. a small being, human in form, playful and having magical powers"
faith [feiθ] "n. complete confidence in a person or plan etc\nn. loyalty or allegiance to a cause or a person"
faithful ['feiθful] "n. any loyal and steadfast following\na. steadfast in affection or allegiance\na. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
faithfully ['feiθfuli] "r. in a faithful manner"
fake [feik] "n. something that is a counterfeit; not what it seems to be\ns. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
falcon ['fɒ:lkәn] "n. diurnal birds of prey having long pointed powerful wings adapted for swift flight\nv. hunt with falcons"
fall [fɒ:l] "n. the season when the leaves fall from the trees\nn. the lapse of mankind into sinfulness because of the sin of Adam and Eve\nn. a lapse into sin; a loss of innocence or of chastity\nn. a sudden decline in strength or number or importance"
fallacy ['fælәsi] "n. a misconception resulting from incorrect reasoning"
fallen ['fɒ:lәn] "s. having dropped by the force of gravity\ns. having fallen in or collapsed\ns. having lost your chastity"
falling ['fɒ:liŋ] "s. decreasing in amount or degree\na. becoming lower or less in degree or value"
fallout ['fɒ:laut] "n. the radioactive particles that settle to the ground after a nuclear explosion"
fallow ['fælәu] "n. cultivated land that is not seeded for one or more growing seasons\ns. left unplowed and unseeded during a growing season\ns. undeveloped but potentially useful"
falsehood ['fɒ:lshud] "n. a false statement"
falsely ['fɒ:lsli] "r. in an insincerely false manner\nr. in an incorrect manner"
falsify ['fɒ:lsifai] "v. make false by mutilation or addition; as of a message or story\nv. prove false\nv. falsify knowingly"
falter ['fɒ:ltә] "v. be unsure or weak\nv. move hesitatingly, as if about to give way"
faltering ['fɒ:ltәriŋ] "s. unsteady in speech or action"
fame [feim] "n. the state or quality of being widely honored and acclaimed\nn. favorable public reputation"
famed [feimd] "s widely known and esteemed"
familial [fә'miljәl] "a. relating to or having the characteristics of a family\ns. occurring among members of a family usually by heredity"
familiar [fә'miljә] "n. a person attached to the household of a high official (as a pope or bishop) who renders service in return for support\nn. a spirit (usually in animal form) that acts as an assistant to a witch or wizard\na. well known or easily recognized\na. within normal everyday experience; common and ordinary; not strange"
familiarity [fә.mili'æriti] "n. usualness by virtue of being familiar or well known\nn. close or warm friendship\nn. an act of undue intimacy"
familiarize [fә'miljәraiz] "v. make familiar or conversant with"
family ['fæmәli] "n. a social unit living together\nn. primary social group; parents and children\nn. people descended from a common ancestor\nn. (biology) a taxonomic group containing one or more genera"
famine ['fæmin] "n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death"
famous ['feimәs] "s widely known and esteemed"
famously ['feimәsli] "r. in a manner or to an extent that is well known"
fan [fæn] "n. a device for creating a current of air by movement of a surface or surfaces\nn. an ardent follower and admirer\nv. strike out (a batter), (of a pitcher)\nv. make (an emotion) fiercer"
fanatic [fә'nætik] "n. a person motivated by irrational enthusiasm (as for a cause)\ns. marked by excessive enthusiasm for and intense devotion to a cause or idea"
fanatical [fә'nætikәl] "s marked by excessive enthusiasm for and intense devotion to a cause or idea"
fanaticism [fә'nætisizm] "n. excessive intolerance of opposing views"
fanciful ['fænsiful] "s. indulging in or influenced by fancy\ns. not based on fact; unreal\ns. having a curiously intricate quality"
fancy ['fænsi] "n. a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination\nv. have a fancy or particular liking or desire for\na. not plain; decorative or ornamented"
fanfare ['fænfєә] "n a gaudy outward display\nn (music) a short lively tune played on brass instruments"
fang ['fæŋ] "n. a Bantu language spoken in Cameroon\nn. an appendage of insects that is capable of injecting venom; usually evolved from the legs\nn. canine tooth of a carnivorous animal; used to seize and tear its prey\nn. hollow or grooved tooth of a venomous snake; used to inject its poison"
fantasize ['fæntәsaiz] "v. portray in the mind"
fantastic [fæn'tæstik] "s. extraordinarily good or great; used especially as intensifiers\ns. fanciful and unrealistic; foolish\ns. existing in fancy only\ns. extravagantly fanciful in design, construction, appearance"
fantasy ['fæntәsi] "n. imagination unrestricted by reality\nn. fiction with a large amount of imagination in it\nv. indulge in fantasies"
far [fɑ:] "a. located at a great distance in time or space or degree\ns. being of a considerable distance or length\ns. being the animal or vehicle on the right or being on the right side of an animal or vehicle\ns. beyond a norm in opinion or actions"
far-fetched [ˈfɑ:ˈfetʃt] 
far-off ['fɑ:r'ɔf] "s very far away in space or time"
faraway ['fɑ:rәwei] "s. very far away in space or time\ns. far removed mentally"
farce [fɑ:s] "n. a comedy characterized by broad satire and improbable situations\nv. fill with a stuffing while cooking"
fare [fєә] "n. the sum charged for riding in a public conveyance\nn. a paying (taxi) passenger\nn. the food and drink that are regularly served or consumed\nv. eat well"
farewell ['fєә'wel] "n. an acknowledgment or expression of goodwill at parting\nn. the act of departing politely"
farm [fɑ:m] "n. workplace consisting of farm buildings and cultivated land as a unit\nv. be a farmer; work as a farmer\nv. collect fees or profits"
farmer ['fɑ:mә] "n. a person who operates a farm\nn. United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)\nn. an expert on cooking whose cookbook has undergone many editions (1857-1915)"
farmhouse ['fɑ:mhaus] "n. house for a farmer and family"
farming ['fɑ:miŋ] "n. the practice of cultivating the land or raising stock\nn. agriculture considered as an occupation or way of life"
farmland ['fɑ:mlænd] "n. a rural area where farming is practiced"
fart [fɑ:t] "n. a reflex that expels intestinal gas through the anus\nv. expel intestinal gases through the anus"
fascinate ['fæsineit] "v. to render motionless, as with a fixed stare or by arousing terror or awe"
fascinating ['fæsineitiŋ] "v cause to be interested or curious\nv to render motionless, as with a fixed stare or by arousing terror or awe\nv attract; cause to be enamored\ns capable of arousing and holding the attention\ns capturing interest as if by a spell"
fascination [.fæsi'neiʃәn] "n. the state of being intensely interested (as by awe or terror)\nn. the capacity to attract intense interest"
fascism ['fæʃizm] "n. a political theory advocating an authoritarian hierarchical government (as opposed to democracy or liberalism)"
fascist ['fæʃist] "n. an adherent of fascism or other right-wing authoritarian views\na. relating to or characteristic of fascism"
fashion ['fæʃәn] "n. characteristic or habitual practice\nn. the latest and most admired style in clothes and cosmetics and behavior\nn. consumer goods (especially clothing) in the current mode\nv. make out of components (often in an improvising manner)"
fashionable ['fæʃәnәbl] "a. being or in accordance with current social fashions\ns. patronized by"
fast [fɑ:st] "n. abstaining from food\nv. abstain from certain foods, as for religious or medical reasons\nv. abstain from eating\na. acting or moving or capable of acting or moving quickly"
fast-growing ['fɑ:stɡr'əʊɪŋ] "s tending to spread quickly"
fast-moving ['fɑ:stm'u:vɪŋ] 
fast-paced ['fɑ:stp'eɪst] "s of communication that proceeds rapidly"
fastball ['fɑ:stbɔ:l] "n. (baseball) a pitch thrown with maximum velocity"
fasten ['fɑ:sәn] "v. cause to be firmly attached\nv. become fixed or fastened\nv. attach to"
fastener ['fɑ:sәnә] "n. a person who fastens or makes fast\nn. restraint that attaches to something or holds something in place"
fat [fæt] "n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)\na. having an (over)abundance of flesh\ns. having a relatively large diameter\ns. lucrative"
